A&AS,advisory and assistance services
A&E,analysis and evaluation
A&E,architectural and engineering
A&E,architect & engineer
A&E,ammunition and explosives
A&F,accounting and finance
A&F,arming and fuzing
A&I,analysis and integration
A&SEA,air and space executive agent
A&T,acquisition and technology
A/A,air-to-air
A/C,aircraft
A/E,architect/engineering
A/G,air-to-ground
A/R,accounts receivable
A-76,competitive sourcing
AA,approval authority
AA,aircraft availability
AA,achieved availability
AA,air to air
AA,advance agreement
AA,analysis of alternatives
AA,acquisition activity
AA&E,"arms, ammunition, and explosives"
AAA,anti aircraft artillery
AAA,authorized accounting activity
AAA,army audit agency
AAAOB,antiaircraft artillery order of battle
AAAV,advanced amphibious assault vehicle program
AAB,administrative appeal board
AAC,activity address code
AAC,acquisition advice code
AAC,army acquisition corps
AAC,army acquisition circular
AAC,air armament center
AACA,army airlift clearance authority
AACMO,army acquisition career management office
AACPB,army acquisition career program board
AACS,automated applicant certification system
AAD,advanced academic degree
AADD,airman against drunk driving
AAE,army acquisition executive
AAFCWF,army and air force civilian welfare fund
AAFES,army air force exchange service
AAFIF,automated air facilities information file
AAFS,amphibious assault fuel system
AAG,area auditor general
AAI,automated acquisition information
AAIP,aircraft availability improvement program
AAIS,automated acquisition information system
AAM,air-to-air missile
AAM,application activity model
AAM,aircraft availability model
AAM,application architectural model
AAMRL,armstrong aerospace medical research laboratory
AAMS,army acquisition management system
AAO,authorized acquisition objective
AAO,approved acquisition objective
AAP,abbreviated acquisition plan
AAP,administrative appeal procedure
AAP,advanced acquisition planning
AAP,affirmative action program
AAR,after action review
AARAD,attack assessment radar
AARGM,advanced anti radiation guided missile
AARS,automated applicant referral system
AART,airborne avionics research testbeds
AAS,advanced automation system
AAS,advisory and assistance service
AATC,air force reserve test center
AATP,advanced airframe technology plan
AAUB,associate army uniform board
AAV,autonomous armored vehicle
AAV,assault amphibious vehicle
AAW,army acquisition workforce
AAW,active aeroelastic wing
AB,air base
ABA,annual budget authority
ABAA,appropriation and budget activity account
ABAAC,appropriation and budget activity account code
ABAC,attribute based access control
ABACUS,automated budget analysis centralized user system
ABC,activity-based costing
ABCA,american british canadian australian
ABCANZ,america britain canada australia new zealand
ABCCC,airborne battlefield command and control center
ABCS,automated budget compilation system
ABCS,army battle command system
ABD,air base defense
ABDAR,aircraft battle damage assessment and repair
ABDR,aircraft battle damage repair
